Title,description,authors,publishedDate,categories
Newcomer Program Program (Prentice Hall Regents ESL),"Provides reproducible activity sheets and teaching instructions for teaching English as a foreign language on such subjects as colors, shapes, numbers, alphabet, school, parts of the body, animals, food, and the calendar.","['Judie Haynes', 'Elizabeth Claire']",1997,['Juvenile Nonfiction']
Tongue - Tied (Harlequin Temptation),"Tongue-Tied by Colleen Collins released on Sep 24, 2002 is available now for purchase.",['Colleen Collins'],2002,['Fiction']
The charismatic movement,The Charismatic Movement in the Churches.,['Walter J. Hollenweger'],1972,['Pentecostalism']
"Gray Wolf, Mustafa Kemal: An intimate study of a dictator","Mustafa Kemal was known both as a vicious dictator and the iron-willed creator of modern Turkey however little was known about him and he was viewed as an enigma by many. Originally published in 1932, Armstrong delves into Kemal¿s career and personal life in great detail showing how he moved between revolutionary, soldier and politician whilst also discussing his love of women, drinking and gambling to present a clear picture of the infamous ruler. This title will be of interest to students of History and Middle-Eastern Studies.",['H. C. Armstrong'],2017-04-15,['Presidents']
Spirit House,"A foreign exchange student comes to live with Julie’s family for a year—setting off a frightening chain of events Julie isn’t thrilled about her parents’ decision to sponsor a foreign exchange student from Thailand. Not only is the stranger going to live with them for a year, but Julie is convinced he’ll be a nerd and will embarrass her at school. But when a tall, handsome, super-cool guy named Bia arrives, Julie is suddenly the envy of all her girlfriends. Dominic, Julie’s 11-year-old brother, is also thrilled to have Bia around the house. So to make the guest feel at home in America, Dominic builds a traditional Thai spirit house in the backyard. Overnight, Bia seems to undergo a major personality change. He’s mean and spiteful and lies about everything. He also seems terrified of something . . . or someone. Has Dominic’s construction somehow invoked a vengeful spirit? Is Bia the bearer of luck so bad it could harm Julie and her family?",['William Sleator'],2015-08-25,['Young Adult Fiction']
Herland,"When their plane crashes in the jungles of South America, the explorers find a hidden civilization that it more advance than their own. The look for the male leaders of the society and discover a utopian all-woman civilization. Herland is a novel by Charlotte Perkins Gillman, the feminist author perhaps best known for her short story, The Yellow Wallpaper. In Herland, Charlotte Perkins Gillman is able to explore her ideas about gender, motherhood, community and sexuality in a science-fiction story that transcended the boundaries of late 19th century society. This Xist Classics edition has been professionally formatted for e-readers with a linked table of contents. This eBook also contains a bonus book club leadership guide and discussion questions. We hope you’ll share this book with your friends, neighbors and colleagues and can’t wait to hear what you have to say about it. Xist Publishing is a digital-first publisher. Xist Publishing creates books for the touchscreen generation and is dedicated to helping everyone develop a lifetime love of reading, no matter what form it takes",['Charlotte Perkins Gilman'],2015-04-20,['Fiction']
Campfire for Cowboy Billy,"After a day of riding his stick horse, Splinter, across an imaginary landscape, Billy returns to the rooftop of his apartment to sit beneath the stars and remember Grandpa.",['Wendy K. Ulmer'],2011,['Juvenile Fiction']
"Marriage Works: Before You Say ""I Do""","Marriage Works! Before I say I do answers your question, Is this my best choice?This book contains the best advice to give you the insight necessary to make your marriage successful.Elisabeth Pendley was educated at Mary Washington College and received her J.D. degree from the University of Wyoming College of Law and her Voice of Reason (V.O.R.) degrees on the birth of her first and second sons.",['Elisabeth Pendley'],2006,['Family & Relationships']
The Hatter's Phantoms,"WHEN FIVE OLD WOMEN ARE FOUND MURDERED IN THE LITTLE FRENCH TOWN OF LA ROCHELLE WITHIN THREE WEEKS, THE COMMUNITY BECOMES PANIC STRICKEN. ONLY ONE MAN KNOWS THE IDENTITY OF THE PSYCHOTIC KILLER, BUT HE IS TOO FRIGHTENED TO REVEAL HIS SECRET.",['Georges Simenon'],1976,['French fiction']
Writing a Successful College Application Essay: The Key to College Admission,"Discusses the qualities of effective college application essays and offers tips on topics, composition, rewriting, editing, and proofreading",['George Ehrenhaft'],1993,['Education']
"Computational Chemistry of Solid State Materials : A Guide for Materials Scientists, Chemists, Physicists and others","This is the first book to present both classical and quantum-chemical approaches to computational methods, incorporating the many new developments in this field from the last few years. Written especially for ""non""-theoretical readers in a readily comprehensible and implemental style, it includes numerous practical examples of varying degrees of difficulty. Similarly, the use of mathematical equations is reduced to a minimum, focusing only on those important for experimentalists. Backed by many extensive tables containing detailed data for direct use in the calculations, this is the ideal companion for all those wishing to improve their work in solid state research.",['Richard Dronskowski'],2008-01-08,['Science']
Acts: Build Community,"Today, some people think of the church as a powerless institution made of ancient traditions and stuffy buildings. They're wrong! The church is the new community of God's people. It's filled with the power of the Holy Spirit. And it has as much to say to the world today as it did two thousand years ago. In Acts, you will discover that God wants to do a fresh work among his people by the power of the Holy Spirit. You will find the pathway to authentic community. You will learn how to grow as a worshiper. And you will deepen your passion to invite others into the fellowship of Christ-followers we call the church. Sound exciting? Let's rediscover church together!",['John Ortberg'],1999-09-28,['Religion']
Will Work for Food or $: A Memoir from the Roadside,"When Bruce Moody was almost 60, he got fired. In desperation, he made a simple sign and began a life on the side of the road. With neither self-pity nor pride, Moody shares his life on the roadside, the unexpected elation he feels at his contact with others, the joy he gets by being out of doors, and the surprising generosity he experiences.",['Bruce Moody'],2004,['Biography & Autobiography']
The Texas Chain Saw Massacre Companion,"A group of teenagers pick up a hitchhiker and wind up in a backwoods horror chamber where they're held captive, tortured, chopped up, and impaled on meat hooks by a demented cannibalistic family, including the maniacally Leatherface who wields a chainsaw.",['Stefan Jaworzyn'],2004-03-01,['Performing Arts']
Michelin Quebec Regional Atlas & Travel Guide (Michelin Regional Atlas & Travel Guide Quebec),"This book navigates the numerous American and Canadian cartographic resources available in print, and online, offering information on how to locate and access the large variety of resources. Cartographic materials are highlighted and summarized, along with lists of map libraries and geospatial centers, and related professional associations.",['Eva H. Dodsworth'],2018-09-22,['Reference']
BloodRune,"Taj Odin Xavier returns home to find his father dead and his king ready to surrender the key to the city-state he s always called home. His friends are all dead. But remnants from his travels and things found and earned along the way push the renegade army threatening Eternis to decimation. After saving the city from capture, Taj turns his aggression towards the city that let his father down; the same man that spent a lifetime serving it. He cast down the churches of all faiths, save those of Draconic origin. He allows the Draconic Order to remain prevalent in the city due to it being the dragons that come down to help him. After, he focuses his newfound aggression towards the Republic of New Magic, more specifically Marko Kane, the killer of King Gerear s eldest son. Taj tries to utilize what heart he has left to rekindle the romance between him and Destiny but an act he deems as betrayal is too much for him. With Destiny forcing him to stay out of it, he orders a newfound ally to execute the culprit. With matters settled in Eternis, he and his new allies set sail for the Republic of New Magic; Runethedian s first outpost against the unending ships and armies of the New Threat, sometimes called the Northern Threat. At first, he plans only to stay long enough to avenge his king s eldest son. But then the war begins to consume him and the things the Father Vampire left inside him begin to writhe in his chest once again. This proves to Taj he s not fully gone. But those powers prove useful in the fight against the New Threat. In the end, he ultimately decides to sail to the heart of the beast in hopes of either securing a truce or ending its life. With every passing day, Taj Odin Xavier loses more of his humanity. Will any of it remain once the war against the New Threat is over? That is, assuming he lives of course. """,['Dallas S. Paskell'],2014-06-26,['Fiction']
Philosophy of Mind,A welcome introduction to one of the most intellectually demanding areas of the undergraduate philosophy curriculum. The authors provide a clear framework within which students can fit contemporary developments in the Anglo-American tradition which provide the core themes of philosophy of mind and which connect to their other work in epistemology and philosophy of language.,"['Paul Gilbert', 'Kathleen Lennon']",2005-08-04,['Philosophy']
ISO 9000 ABC's: The Small Company Guide to Successful Registration,"ISO 9000 is increasingly impacting smaller companies as larger companies demand that their supplier base have a formal quality system. Companies with less than 500 employees often spend too much time trying to understand the standards, changing their current systems, and over documenting every aspect of their daily operations. Time is money, and since many smaller companies delegate the project to one individual - who already has a full time job -understanding the basics as quickly as possible is essential. With anything new there is required research and knowledge - this book shortens the learning curve by explaining the key points, possible pitfalls, costs, and requirements to achieving registration. The author walks you through the process step-by-step, supplying examples of required documentation, auditor questions, methods of compliance, and basic program suggestions. Included in the text are two quality manuals. The accompanying disk contains templates for these quality manuals, procedures, forms and documents that can be revised as needed. Each procedure gives you a clear overview of what is required and serves as a boilerplate for quick modification and procedure generation. The disk makes individualizing the ISO 9000 documentation to your company easy. ISO 9000 ABC's: The Small Company Guide to Successful Registration provides a very clear picture of all aspects of the ISO process and takes the guess work out of what to document and how. You are walked through the process step-by-step with examples of required documentation, auditor questions, methods of compliance, and basic program suggestions. Features",['Charles Mangarella'],1999-06-25,['Law']
Phoenix In The Ashes.,"Phoenix from the Ashes is a comprehensive look at the state of the Catholic Church since the Second Vatican Council--one of a series of recurrent periods of moral and intellectual crisis to which it has succumbed in its history. A chapter on the Council describes in detail how Pope Paul VI diverted it by placing it under the exclusive control of European liberals. An equally close study is devoted to the liturgical ""reform"" entrusted by the same pope to a group of radicals whose work undermined the spiritual and devotional legacy of the faithful. The loss of orthodox teaching and the disorientation following upon these changes produced a grave crisis in both clergy and laity, but the movement of return to tradition visible today promises a revival of the full Catholic life of the Church. Catholic readers now have a complete and eminently accessible account of the last 50 years of momentous changes in the Church, right up to the pontificates of Benedict XVI and Francis I. ""This wide-ranging account of the self-destruction of the Roman Catholic Church and its identification of her only realistic route back to the land of the living simultaneously strikes a blow at history's two most prevalent temptations: rejection or twisting of evidence in the service of an ideological thesis, and honest dedication to intense research on subjects whose ultimate existential value the 'unbiased' historian somehow fears to reveal to his readers. Henry Sire courageously shuts no doors and stifles no evidence, employing a passionate and lively prose that leaves no doubt regarding his sense of the crucial moral and cultural importance of his topic.""--JOHN RAO, author of Black Legends and the Light of the World and Removing the Blindfold ""For Catholics feeling lost at sea as a result of the turbulent crisis tossing and flooding the Barque of Peter, Henry Sire's work identifies clear landmarks to steady our gaze. He situates the present disarray within the larger historical context of the Arian heresy and Protestant revolution, and points to the buoys of tradition--liturgical, doctrinal, and philosophical--as sure guides to our way out. Sire distills entire epochs of history, from the first centuries of the Church through the current pontificate, into a highly readable and thought-provoking story. In the course of his tale he exposes the radical progressivism of the Second Vatican Council and its after-effects as well as the tepid conservatism of the Reform of the Reform and the Hermeneutic of Continuity.""--BRIAN M. MCCALL, author of To Build the City of God ""Historian H.J.A. Sire has compiled a balanced assessment of the revolution in the Roman Catholic Church. His mastery of the material is complete. The book flows along easily and readers will finish it confident that they have a comprehensive understanding of the last 60 years in the Church.""--ROGER MCCAFFREY, President, Roman Catholic Books ""Thanks to Henry Sire's penetrating book, we have some profound answers to nagging questions. How did the West end up so quickly in a post-Christian age, when only decades ago one could still speak of a Christian culture? How did we go from the seemingly healthy Roman Catholic Church of the 1950s to the mass apostasy and grave scandals of recent years? As Sire shows, the antecedents go back quite far, in fact many centuries, but the possibility of healing and regeneration is not as remote as we think.""--STEPHEN KLIMCZUK-MASSION, Senior Adviser, Hildebrand Project H.J.A. SIRE was born in 1949 in Barcelona of a family of French ancestry and was educated in England, at Stonyhurst College and at Exeter College, Oxford, where he took a degree in Modern History. He has written several books on subjects of Catholic history and biography and currently lives in Rome, where he works professionally as a historian.",['H. J. A. Sire'],2015-07-18,['Christian ethics']
Event Planning Made Easy,"America's premier corporate event planners reveal the seven secrets of successful planning for every occasion, on any budget Whether it's the company's annual party, a product launch, or a fund-raising gala, planning a major event is a daunting task. Now the industry leaders who organized major events for the 1996 Olympics and for several Fortune 500 corporations make it easy for you. In seven simple steps, they share the proven secrets behind any successful function--and show you how to: Choose the right venue at the best price Create an organized event book Book entertainment, staff, and caterers Develop an ideal menu and theme Manage behind-the-scenes operations and security Make every event a smashing success","['Paulette Wolf', 'Jodi Wolf', 'Donielle Levine']",2005-05-11,['Business & Economics']
Kearny (NJ) (Images of America),"Dutch and English settlers brought the first enslaved people to New Jersey in the seventeenth century. By the time of the Revolutionary War, slavery was an established practice on labor-intensive farms throughout what became known as the Garden State. The progenitor of the influential Morris family, Lewis Morris, brought Barbadian slaves to toil on his estate of Tinton Manor in Monmouth County. Colonel Tye, an escaped slave from Shrewsbury, joined the British Ethiopian Regiment during the Revolutionary War and led raids throughout the towns and villages near his former home. Charles Reeves and Hannah Van Clief married soon after their emancipation in 1850 and became prominent citizens of Lincroft, as did their next four generations. Author Rick Geffken reveals stories from New Jersey's dark history of slavery.",['Rick Geffken '],2021-01-04,['History']
Dear Mad'm,"""The refreshing adventures of a woman who at the age of eighty found a new life in the wilds of the Siskiyou Mountains near Happy Camp, California."" (book jacket).",['Stella Walthall Patterson'],1956,['Siskiyou Mountains (Calif. and Or.)']
Collector's Guide to Transistor Radios Identification and Values,"This exceptional book includes nearly 400 full-color photographs and updates over 2,000 current values, making this edition totally in sync with the ever-changing market. The authors have put a special emphasis on radios from the 50s and 60s.","['Marty Bunis', 'Sue Bunis']",1996,['Antiques & Collectibles']
Technology Integration: Making Critical Choices in a Dynamic World (Management of Innovation and Change),Illustrates the process of technology integration at the managerial and strategic levels and reveals the evolution in the structure of research and development in the modern corporation. This book provides a framework for managing the space between the creation and the application of technology.,['Marco Iansiti'],1998,['Business & Economics']
Daughters Of The Sea (Next),"When Veronica married Guy, she didn't know it would mean more than twenty years of constant change, a new home every year in a different coastal town. Finally, she'd had enough, and fled with her teenage daughter to Whisper Mountain, to the home of her oldest friend. What she found there was a new life, a shifting from sea tides to hidden mountain springs, which renewed her, but also tested the courage of all three women.",['Ellyn Bache'],2012-12-17,['Fiction']
One is one,"Zinderend slot van internationale bestsellerserie De selectie heeft het leven van 35 meisjes voorgoed veranderd. En nu is de tijd aangebroken dat er een winnaar wordt gekozen. America had nooit durven hopen dat ze kans maakte op de kroon of om het hart van prins Maxon te kunnen veroveren. Maar nu de competitie haar einde nadert en de bedreigingen van buiten de paleismuren steeds gewelddadiger worden, realiseert America zich hoeveel ze heeft te verliezen en hoe hard ze moet vechten voor de toekomst die ze wil.",['Kiera Cass'],2014-11-05,['Juvenile Fiction']
He Knew He Was Right (Worlds Classics),"Trollope is usually seen as a faithful mirror of Victorian England, both in providing intimate details of contemporary life and in endorsing the moral attitudes and certainties of the period. His powers of empathy make his characters convincing and knowable in an astonishing way. Yet the Victorians restricted women to the house and severely limited their rights and opportunities. Trollope and Women examens the conundrum of how a great novelist could both accept the conventional values of the time and yet be able to see and sympathise with the impossible situations in which Victorian women often found themselves. Margaret Markwick shows the individuality of Trollope's women: even conventional Angel in the House heroines, like Mary Lowther in The Vicar of Bullhampton, can surprise us at times. More tellingly, he cannot help giving some of his less angelic characters, such as the vivacious Lizzie Eustace in the Eustace Diamonds, his unwilling admiration. His range extends beyond simple romance to the realistic handling of marriages, both happy and unhappy, and to the treatment of bigamy and scandal. He shows men and women getting on together as well as fighting bitterly. Nor are Trollope's novels as devoid of sex as has often been thought.",['Margaret Markwick'],1997-01-01,['Literary Criticism']
Writing Women's Worlds: Bedouin Stories,"Extrait de la couverture : "" In 1978 Lila Abu-Lughod climbed out of a dusty van to meet members of a small Awlad 'Ali Bedouin community. Living in this Egyptian Bedouin settlement for extended periods during the following decade, Abu-Lughod took part in family life, with its moments of humor, affection, and anger. As the new teller of these tales Abu-Lughod draws on anthropological and feminist insights to construct a critical ethnography. She explores how the telling of these stories challenges the power of anthropological theory to render adequately the lives of others and the way feminist theory appropriates Third World women. Writing Women's Worlds is thus at once a vivid set of stories and a study in the politics of representation.""",['Lila Abu-Lughod'],2008-04-07,['Social Science']
Successful Presentations for Dummies,"This fun and humorous guide outlines proven techniques and strategies for dealing with and influencing people and giving presentations--all presented in a light, friendly tone. Kushner explores the actual preparation for a presentation, including research, knowledge of the audience, and dealing with audience reactions, both positive and negative. Cartoons.",['Malcolm L. Kushner'],1996,['Business presentations']
"Poetry and Repetition: Walt Whitman, Wallace Stevens, John Ashbery (Literary Criticism and Cultural Theory)","This book examines the function of repetition in the work of Walt Whitman, Wallace Stevens and John Ashbery. All three poets extensively employ and comment upon the effects of repetition, yet represent three distinct poetics, considerably removed from one another in stylistic and historical terms. At the same time, the three are engaged in a highly interesting relation to each other - a relation readers tend to explain in terms of repetition, by positing Whitman and Stevens as the two alternative 'beginnings' out of which Ashbery emerges. Krystyna Mazur analyses the work of the three poets to discern patterns that may operate across a relatively broad spectrum of examples, as well as to consider the variety of ways in which repetition can structure a poetic text.",['Krystyna Mazur'],2006-06-02,['Literary Criticism']
INFRARED DETECTORS & SYSTEMS,"Infrared Detectors and Systems offers a deep and detailed examination of the optical detection process and the electronics of mimicking the eye. It further explores recent research in new detector materials and the latest advances in optical detectors. This text covers the range of subjects necessary for the understanding of modern infrared-imaging systems at a level appropriate for seniors or first-year graduate students in physics or electrical engineering. The first six chapters focus on fundamental background issues of radiation detection, beginning with the basics of geometrical optics and finishing with a discussion of the figures of merit used for describing the signal-to-noise performance of a detector system. Other topics include radiometry and flux-transfer issues, basic radiation-detector mechanisms, and random-process mathematics. The book concludes with a close look at infrared detection systems and related issues. In the discussion of infrared search systems, the range equation is developed in terms of the optical and detector parameters of the system. A separate chapter is devoted to modulation transfer function, a spatial-frequency-domain description of image quality. The final chapter describes the design equations for thermal-imager systems in terms of noise-equivalent temperature difference and minimum resolvable temperature. Supported and clarified by 470 illustrations and accompanied by an extensive glossary of the nomenclature, this is an excellent text for graduate and senior level courses in radiometry and infrared detectors. It is also a valuable reference for practicing engineers involved in the use, design, analysis, and testing of infrared detector-based systems.","['E. L. Dereniak', 'G. D. Boreman']",1996,['Technology & Engineering']
The Sperm Engine,"Following in the tradition of literary provocateurs like John Preston, John Rechy and Boyd MacDonald, Greco's The Sperm Engine illustrates how people often reveal themselves best during sex - whether through traditional, romantic expressions of love or through the vast variety of 'sex sport' and 'sex work' that are integral to modern gay life. A collection of erotic works, memoirs and diary entries, The Sperm Engine combines ten pieces of new, previously unpublished work with several popular pieces.",['Stephen Greco'],2002,['Fiction']
Living Abroad in France,"Writer Aurelia d'Andrea knows what it takes to make the move to Paris—she's done it twice. In Moon Living Abroad in Paris, she uses her know-how to provide insight and firsthand advice on navigating the language and culture of this enchanting city, outlining all the information you need to manage your move abroad in a smart, organized, and straightforward manner. Moon Living Abroad in Paris is packed with essential information and must-have details on setting up daily life, including obtaining visas, arranging finances, gaining employment, choosing schools, and finding health care. With color and black and white photos, illustrations, and maps to help you find your bearings, Moon Living Abroad in Paris makes the transition process easy for businesspeople, adventurers, students, teachers, professionals, families, couples, and retirees looking to relocate.","[""Aurelia d'Andrea""]",2014-11-25,['Travel']
Black Box,"Black Box is het televisieprogramma waar heel Nederland voor thuisblijft. Zeven kinderen van tien tot zestien zitten opgesloten in een zwart huis vol camera's op de Pier in Scheveningen. Black Box duurt een maand, en dat is genoeg om geschiedenis te maken. Jamie is de jongste redactrice van het programma. Ze is zeventien, enthousiast, naïef en al snel stapelverliefd: op Rijn, de briljante regisseur. Zo verliefd, dat ze niet meer ziet dat Black Box volledig uit de hand loopt. Zo verliefd, dat ze een rode avondjurk belangrijker vindt dat het leven van de kinderen... Maar wie is verantwoordelijk voor het drama op de Pier? De kinderen, of de redactie? Of de zeven miljoen kijkers thuis? Anna Woltz schreef een meeslepende jeugdroman over een wereld die akelig dicht bij de onze komt. Een wereld waarin televisie en werkelijkheid door elkaar lopen. Ze stelt de moderne uiterlijkheidscultuur en de seksualisering van de maatschappij op een indringende manier aan de kaak. Worden kinderen van nu te veel aan hun lot overgelaten? En hoe denken ze over liposuctie en euthanasie? Black Box is keihard en grappig, romantisch en spannend als een thriller.",['Anna Woltz'],2009-10-31,['Juvenile Fiction']
Designing With Climbers (The Joy of Gardening),"""An inspiring and accessible guide to using climbers to transform your garden into a vibrant and colorful haven""--Jacket.",['Richard Rosenfeld'],1999,['Gardening']
"Henry James: Complete Stories, 1892-1898 (Library of America)","This Library of America volume is one of five that make available for the first time in new, complete, and authoritative editions the astonishing abundance of invention and unwavering intensity of the aesthetic vision of Henry James as displayed in more than one hundred world-famous stories ranging from brief anecdotes to richly developed novellas. Equally adept at ironic comedy, muted tragedy, and supernatural fantasy, at lively social satire and nuanced portraiture, James in his shorter works explores a staggering variety of situations and emotions. Here are courtships and legacies; the worlds of literature, theater, and the popular press; the paradoxes of temperament and the constraints of custom; the clash of conscience and desire. Stylistically, the stories allowed James to experiment with tones and devices quite different from his novels—dramatic plot twists and surprise endings, swift pacing and ebullient humor. The brilliance of his technical command allowed him to transform the tiniest of suggestions—a fleetingly observed gesture, an anecdote dropped at a dinner party—into fiction remarkable for its lambent surfaces and intricate psychological counterpoint. The twenty-one stories in this volume represent James at the peak of his storytelling powers. Among them are “The Turn of the Screw,” one of his most popular works, and a terrifying exercise in psychological horror centering on the corruption of childhood innocence; “The Real Thing,” a playful consideration of the illusion of art and the paradoxes of authenticity; “The Figure in the Carpet,” “The Death of the Lion,” and “The Middle Years,” three very different expositions of the mysteries of authorship, embodying some of James’s most profound insights into the nature of his own art; “The Altar of the Dead,” a somber, ultimately wrenching meditation on the relation of the living to the dead; and “In the Cage,” an extended evocation of the inner life of a young woman trapped in a dehumanizing job at a postal-and-telegraph office. LIBRARY OF AMERICA is an independent nonprofit cultural organization founded in 1979 to preserve our nation’s literary heritage by publishing, and keeping permanently in print, America’s best and most significant writing. The Library of America series includes more than 300 volumes to date, authoritative editions that average 1,000 pages in length, feature cloth covers, sewn bindings, and ribbon markers, and are printed on premium acid-free paper that will last for centuries.","['Henry James', 'John Hollander']",1996-01-01,['Fiction']
Louie's Goose,"Louie, the Big Blue Goose By: Alexander Wuchevich Louie is a goose who was born blue and very big, much larger than the other geese his age. Because he was different, the other geese did not bother with him which made Louie very sad. The day comes where all the geese fly to the USA, as they do each year. When a young goose breaks his wind during landing, Louie volunteers himself to fly the little one on his back to see a doctor. There is a valuable lesson for all children - and adults - in Louie's story: Never judge others by their appearances for we do not know their heart.",['Alexander Wuchevich'],2021-12-20,['Juvenile Fiction']
Blackbird Dust,"Jonathan Williams is a poet, publisher, photographer, polemicist, champion correspondent and cross-country promenader.",['Jonathan Williams'],2000-01-01,['Fiction']
Photo School,"This book won't tell you how to take photographs. It will, though, teach you a much more difficult set of skills: how to be a photographer. Passing on hard-earned lessons from a successful career in commercial, editorial and lifestyle photography, Demetrius Fordham shows how to snag the best internships and assistant roles, impress at an interview, develop an amazing portfolio, forge strong relationships with clients, and lay the foundations of your own successful career. Illustrated throughout with Demetrius' own duotone photography, dramatically typeset to appeal to visual thinkers, and presented in an appealing handbook format, this is the book that will launch the careers of the next generation of photographers.",['Demetrius Fordham'],2015-09-03,['Business & Economics']
What's Wrong With My Pony? (Pony Pals No. 33),Snow White and Acorn are fighting and it's ruining the girls' freindship. Can Pam figure out what's going on with the ponies before Anna and Lulu decide they no longer want to be Pony Pals? Snow White and Acorn are fighting. They bite each other and they can't even stand to be in the same paddock. All this tension causes a big blowout as Lulu and Anna defend their ponies. Pam is caught in the middle. Can Pam use her newly discovered gift for communing with ponies figure out what's causing the upset before Anna and Lulu decide they don't want to be Pony Pals anymore?,['Jeanne Betancourt'],2003,['Juvenile Fiction']
On Beyond Euclid,"This curious little book is basically a hitchhiker's guide to Book I of Euclid's Elements. We travel through each of the forty-eight Propositions-more or less in order-and see how each one generalizes-or does not generalize-to hyperbolic and other non-Euclidean spaces. Few people seem to realize that Einstein's special theory of relativity is a model of hyperbolic geometry. The connection between Minkowski geometry and special relativity is well-known, while the connection between hyperbolic geometry and special relativity is, rather, known of. But this book makes the hyperbolic connection explicit; Poincare disks rather than the traditional Minkowski diagrams are used to illustrate concepts of special relativity. As we progress through Euclid's propositions, it becomes increasingly clear that every theorem in neutral and hyperbolic geometry can be translated into a true statement in special relativity.""",['Ben Jacobs'],2006-02,['Mathematics']
Rogets Ii New,"An expanded edition of the indispensable reference book includes alphabetized entries, synonyms grouped by meaning, illustrative examples, and same-page groupings of synonyms, idioms, and more",['Peter Mark Roget'],1988,['Reference']
Finnegans Wake,"A daring work of experimental, Modernist genius, James Joyce's Finnegans Wake is one of the greatest literary achievements of the twentieth century, and the crowning glory of Joyce's life. The Penguin Modern Classics edition of includes an introduction by Seamus Deane 'riverrun, past Eve and Adam's, from swerve of shore to bend of bay, brings us by a commodius vicus of recirculation back to Howth Castle and Environs' Joyce's final work, Finnegan's Wake is his masterpiece of the night as Ulysses is of the day. Supreme linguistic virtuosity conjures up the dark underground worlds of sexuality and dream. Joyce undermines traditional storytelling and all official forms of English and confronts the different kinds of betrayal - cultural, political and sexual - that he saw at the heart of Irish history. Dazzlingly inventive, with passages of great lyrical beauty and humour, Finnegans Wake remains one of the most remarkable works of the twentieth century. James Joyce (1882-1941), the eldest of ten children, was born in Dublin, but exiled himself to Paris at twenty as a rebellion against his upbringing. He only returned to Ireland briefly from the continent but Dublin was at heart of his greatest works, Ulysses and Finnegans Wake. He lived in poverty until the last ten years of his life and was plagued by near blindness and the grief of his daughter's mental illness. If you enjoyed Finnegans Wake, you might like Virginia Woolf's The Waves, also available in Penguin Classics. 'An extraordinary performance, a transcription into a miniaturized form of the whole western literary tradition' Seamus Deane",['James Joyce'],2015-06-25,['Fiction']
Nurse's Calling: A Christian Spirituality for Caring for the Sick,"A veteran nurse researcher and educator provides a spiritual perspective on the professional nurse's vocation of caring. Grounding each chapter in Scripture, O'Brien explores the Christian nurse's call to love as Jesus loved: without discrimination, reserve and, sometimes, reward.","[""Mary Elizabeth O'Brien""]",2001,['Medical']
Twilight of the Idols and the Anti-Christ,"Twilight of the Idols presents a vivid, compressed overview of many of Nietzsche’s mature ideas, including his attack on Plato’s Socrates and on the Platonic legacy in Western philosophy and culture. Polt provides a trustworthy rendering of Nietzsche’s text in contemporary American English, complete with notes prepared by the translator and Tracy Strong. An authoritative Introduction by Strong makes this an outstanding edition. Select Bibliography and Index.",['Friedrich Nietzsche'],1997-06-01,['Philosophy']
Spiritual Disciplines for the Christian Life (Pilgrimage Growth Guide),"Drawn from a rich heritage, Spiritual Disciplines for the Christian Life will guide you through a carefully selected array of disciplines, including: Scripture reading Prayer Worship Scripture meditation Evangelism Serving Stewardship of time and money Scripture application Fasting Silence and solitude Journaling Learning By illustrating why the disciplines are important, showing how each one will help you grow in godliness, and offering practical suggestions for cultivating them, Spiritual Disciplines for the Christian Life will provide you with a refreshing opportunity to become more like Christ and grow in character and maturity.",['Donald S. Whitney'],1991-06,['Religion']
Calling in the Night,"One sleepless night, Ko slips out to walk the streets. Life after dark is a revelation! When flirtatious Nazuna invites Ko to spend the night at her place in an abandoned building, he’s stoked! But then he awakens to kisses on his neck with a little too much bite to them... Is it just the delicious taste of his blood that makes her meet him night after night for late-night adventures, conversation and...naps? Or something else? Then, when a cute girl from Ko’s past shows up and competes for his attention, his budding relationship with the undead is put to the test! -- VIZ Media","['Kotoyama,']",2021-04-13,['Comics & Graphic Novels']
Single in Saudi,"Bored at work and nursing a broken heart, a thirty something R.N. leaves her prestigious job at a Houston medical center to work at a military hospital in Saudi Arabia in 1978. She arrives in a land struggling to catch up to the Western world while retaining its strict Muslim morality — at least in public. “Genia,” a bold, single, blue-eyed blonde, discovers that sex and drugs are very much in demand inside the high-walled compounds of the Western-educated Saudi elite. During two years in The Kingdom, Genia manages to break every rule short of theft and murder while befriending Arabs of all social standing, including her grateful patients. A hot-shot Saudi Air Force pilot and a top Saudi official become her lovers, and she parties with princes and princesses at their opulent homes and Bedouin camps. But she also dons the veil and long, black obaya in order to move freely among the ordinary Saudis who welcome her into their homes. With plenty of overtime pay and vacation time, Genia travels to more than twenty five countries while based in Saudi Arabia. She describes these travels, along with her relationships, nursing work, and unleashed feminism in this extraordinary memoir of a time when America wasn’t a dirty word in the Arab world.",['Genia'],2002-11-11,['Biography & Autobiography']
Born Royal (Firstborn Sons) (Silhouette Intimate Moments),"Jace was dead. Vanessa had finally fulfilled her promise, but too late. Now she could never explain, never ask forgiveness-certainly not from Jake Conrad, who blamed her for his cousin's death. Jake, who was very willing to act as stand-in for Vanessa's first love...for reasons of his own. Did he really want her? Or did he only want revenge?",['Alexandra Sellers'],2013-03-26,['Fiction']
Newsies,Presents a songbook that features vocal lines with piano accompaniment for thirteen songs from the Broadway musical.,"['Alan Menken', 'Jack Feldman']",2012,['Music']
